"","Percentage (%)","Location","Demographic","year"
"176",5.2,"York","Total Population","2017"
"177",16.1,"Chesapeake","Black Population","2017"
"178",25.7,"Franklin","Black Population","2017"
"179",15.4,"Gloucester","Black Population","2017"
"180",20.3,"Hampton","Black Population","2017"
"181",15.3,"Isle of Wight","Black Population","2017"
"182",13.9,"James City","Black Population","2017"
"183",30.4,"Mathews","Black Population","2017"
"184",24,"Newport News","Black Population","2017"
"185",29.4,"Norfolk","Black Population","2017"
"186",0,"Poquoson","Black Population","2017"
"187",23,"Portsmouth","Black Population","2017"
"188",23.5,"Southampton","Black Population","2017"
"189",18.3,"Suffolk","Black Population","2017"
"190",13.9,"Virginia Beach","Black Population","2017"
"191",23.2,"Williamsburg","Black Population","2017"
"192",10.7,"York","Black Population","2017"
"193",9,"Chesapeake","Total Population","2018"
"194",16.2,"Franklin","Total Population","2018"
"195",8.5,"Gloucester","Total Population","2018"
"196",15.8,"Hampton","Total Population","2018"
"197",10,"Isle of Wight","Total Population","2018"
"198",7.8,"James City","Total Population","2018"
"199",10.8,"Mathews","Total Population","2018"
"200",15.5,"Newport News","Total Population","2018"
"201",19.7,"Norfolk","Total Population","2018"
"202",4.5,"Poquoson","Total Population","2018"
"203",17.2,"Portsmouth","Total Population","2018"
"204",10.2,"Southampton","Total Population","2018"
"205",10.8,"Suffolk","Total Population","2018"
"206",7.6,"Virginia Beach","Total Population","2018"
"207",22.4,"Williamsburg","Total Population","2018"
"208",4.7,"York","Total Population","2018"
"209",14.6,"Chesapeake","Black Population","2018"
"210",25,"Franklin","Black Population","2018"
"211",14.2,"Gloucester","Black Population","2018"
"212",21.4,"Hampton","Black Population","2018"
"213",14.3,"Isle of Wight","Black Population","2018"
"214",14.7,"James City","Black Population","2018"
"215",33.6,"Mathews","Black Population","2018"
"216",22.2,"Newport News","Black Population","2018"
"217",28.2,"Norfolk","Black Population","2018"
"218",0,"Poquoson","Black Population","2018"
"219",22.7,"Portsmouth","Black Population","2018"
"220",20.5,"Southampton","Black Population","2018"
"221",17,"Suffolk","Black Population","2018"
"222",12.8,"Virginia Beach","Black Population","2018"
"223",30,"Williamsburg","Black Population","2018"
"224",5.6,"York","Black Population","2018"
